time_hr,vol_base_m3,vol_top_m3,vol_total_m3,cum_entrained_m3,cum_stripped_m3,cum_base_loss_m3,max_ppm_z,p95_ppm_z,area_danger_km2,area_lethal_km2,pop_danger,pop_lethal,expected_fatalities,front_danger_m,front_lethal_m,front_base_m,front_top_m,centroid_base_x,centroid_base_y,centroid_top_x,centroid_top_y,centroid_total_x,centroid_total_y,mean_exposure_min,max_exposure_min,mean_Pdeath,max_Pdeath,wind_u_mps,wind_v_mps,wind_mag_mps,K_base_m2ps,K_top_m2ps,entrain_rate_1ps,strip_coeff_1ps_per_mps,base_background_loss_1ps,S1,z_human_m,h_cap_m,released_volume_STP_m3,eruption_radius_m,Ri_source
0.0,290669789184.0,1037914048.0,291707715584.0,1050443968.0,12529920.0,69763072.0,1000000.0,420.0,20.375,20.375,5615.61962890625,5615.61962890625,5615.619140625,3400.367627183861,3400.367627183861,3400.367627183861,3400.367627183861,735654.2772816184,9777668.706921192,735654.2622522423,9777668.717552787,735654.27002555,9777668.712063644,0.0009120284230448306,5.0,0.00018240568169858307,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
0.16666666666666666,251801501696.0,5610420224.0,257411923968.0,5855750016.0,245329152.0,388890624.0,1000000.0,420.0,25.5625,25.0,7569.494140625,7414.953125,7379.51708984375,3881.043674065006,3881.043674065006,4366.062299143246,5099.019513592785,735802.4097897927,9777707.325774996,735730.1194680034,9777843.491920263,735800.8332615407,9777710.294239447,0.003091384656727314,15.0,0.00022367044584825635,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
0.3333333333333333,228725833728.0,9412976640.0,238138802176.0,10137661760.0,724681984.0,673300480.0,1000000.0,420.0,31.125,30.6875,8646.658203125,8496.283203125,8462.0009765625,4506.939094329987,4500.0,4609.772228646444,6128.825336065632,735898.2860959647,9777714.962953042,735788.6701327085,9778007.735735632,735893.9570956712,9777726.532759776,0.007058428600430489,30.0,0.00027359958039596677,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
0.5,214547185664.0,12694364160.0,227241525248.0,14108195392.0,1413827840.0,936968192.0,1000000.0,420.0,34.25,33.875,9738.541015625,9489.7470703125,9517.80078125,5000.0,4911.720676097125,4808.8460154178365,7000.0,735955.5282834844,9777714.511062032,735832.8101700261,9778165.069091437,735948.6832514242,9777739.673218945,0.010091062635183334,40.0,0.00030296933255158365,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
0.6666666666666666,204694765568.0,15587308544.0,220282060800.0,17873826304.0,2286511360.0,1187069952.0,1000000.0,420.0,38.375,38.25,10183.556640625,10066.4697265625,10047.013671875,5505.67888638631,5505.67888638631,4854.1219597369,7603.453162872775,735990.7357797486,9777714.525982173,735866.6245574404,9778318.036532916,735981.960093826,9777757.226207566,0.015101623721420765,55.0,0.00034130195854231715,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
0.8333333333333334,197050220544.0,18165202944.0,215215439872.0,21487351808.0,3322150144.0,1427046400.0,1000000.0,420.0,41.0,40.375,10778.962890625,10599.70703125,10602.919921875,5836.308764964376,5836.308764964376,5055.937104039171,8344.159634139318,736014.071689933,9777715.651695276,735893.2683645127,9778467.705004746,736003.866902585,9777779.1344994,0.018755333498120308,65.0,0.00036160973832011223,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
1.0,190643634176.0,20473655296.0,211117309952.0,24977101632.0,4503446784.0,1658863616.0,1000000.0,420.0,44.8125,44.3125,11724.142578125,11225.9736328125,11324.939453125,6329.494450586081,6329.494450586081,5055.937104039171,9003.471552684554,736030.8524715552,9777717.163052952,735914.8571757819,9778614.495506676,736019.5930699019,9777804.191591782,0.024686316028237343,80.0,0.00039688977994956076,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
1.1666666666666667,185004130304.0,22544529408.0,207548645376.0,28359879744.0,5815352576.0,1883521024.0,1000000.0,420.0,47.1875,46.625,12075.7890625,11705.626953125,11733.7734375,6768.493185340441,6754.628043053148,5099.019513592785,9581.8839483684,736043.7800741273,9777718.60056137,735932.8079104252,9778758.581808701,736031.733948171,9777831.560679596,0.028905145823955536,90.0,0.000416508293710649,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
1.3333333333333333,179883442176.0,24402214912.0,204285657088.0,31646642944.0,7244428544.0,2101821440.0,1000000.0,420.0,50.875,49.875,12890.556640625,12013.32421875,12317.2060546875,7288.689868556626,7254.309064273454,5099.019513592785,10250.0,736054.2968137356,9777719.800016258,735948.0666998165,9778900.068486003,736041.6054105784,9777860.786232362,0.03563624992966652,105.0,0.00044708047062158585,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
1.5,175139536896.0,26066571264.0,201206104064.0,34845120640.0,8778550528.0,2314289152.0,1000000.0,420.0,52.75,52.1875,12939.48828125,12479.12890625,12539.1142578125,7566.372975210778,7537.406715840668,5273.755777432247,10776.131031126153,736063.1771012939,9777720.775507791,735961.2819275851,9779039.037430841,736049.9724623602,9777891.561228504,0.04035865515470505,115.0,0.00046701962128281593,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
