time_hr,vol_base_m3,vol_top_m3,vol_total_m3,cum_entrained_m3,cum_stripped_m3,cum_base_loss_m3,max_ppm_z,p95_ppm_z,area_danger_km2,area_lethal_km2,pop_danger,pop_lethal,expected_fatalities,front_danger_m,front_lethal_m,front_base_m,front_top_m,centroid_base_x,centroid_base_y,centroid_top_x,centroid_top_y,centroid_total_x,centroid_total_y,mean_exposure_min,max_exposure_min,mean_Pdeath,max_Pdeath,wind_u_mps,wind_v_mps,wind_mag_mps,K_base_m2ps,K_top_m2ps,entrain_rate_1ps,strip_coeff_1ps_per_mps,base_background_loss_1ps,S1,z_human_m,h_cap_m,released_volume_STP_m3,eruption_radius_m,Ri_source
0.0,290667298816.0,1037905024.0,291705192448.0,1050434944.0,12529920.0,69730304.0,1000000.0,420.0,20.375,20.375,5602.1767578125,5602.1767578125,5602.177734375,3400.367627183861,3400.367627183861,3400.367627183861,3400.367627183861,735654.2758569417,9777668.710405428,735654.2838849461,9777668.703481527,735654.2872260893,9777668.700612651,0.0032501844689249992,5.0,0.000650036905426532,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
0.16666666666666666,251803009024.0,5610376704.0,257413398528.0,5855704256.0,245328128.0,388956160.0,1000000.0,420.0,25.5625,25.0,7553.71923828125,7399.72216796875,7364.158203125,3881.043674065006,3881.043674065006,4366.062299143246,5099.019513592785,735802.4272289331,9777707.265077528,735730.1489765991,9777843.452788314,735800.8525424664,9777710.232771108,0.011016729287803173,15.0,0.0007970892474986613,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
0.3333333333333333,228740300800.0,9413101568.0,238153400320.0,10137787136.0,724686592.0,673398784.0,1000000.0,420.0,31.125,30.6875,8630.4296875,8480.595703125,8445.8046875,4506.939094329987,4500.0,4609.772228646444,6128.825336065632,735898.244719441,9777714.878987338,735788.6823541496,9778007.673608107,735893.9110816503,9777726.454509059,0.025154035538434982,30.0,0.0009749739547260106,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
0.5,214570221568.0,12694833152.0,227265036288.0,14108682496.0,1413851904.0,937181184.0,1000000.0,420.0,34.25,33.875,9722.701171875,9474.2392578125,9502.009765625,5000.0,4911.720676097125,4808.8460154178365,7000.0,735955.4330210391,9777714.427991213,735832.7849657177,9778165.00253004,735948.5897463032,9777739.590054091,0.035961396992206573,40.0,0.0010796634014695883,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
0.6666666666666666,204722257920.0,15588201472.0,220310470656.0,17874782592.0,2286586624.0,1187315712.0,1000000.0,420.0,38.375,38.25,10160.51171875,10044.3662109375,10023.38671875,5505.67888638631,5505.67888638631,4854.1219597369,7603.453162872775,735990.6107392662,9777714.442803867,735866.5928583496,9778317.947051972,735981.8285484889,9777757.150318883,0.053817469626665115,55.0,0.0012162694474682212,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
0.8333333333333334,197079941120.0,18166548480.0,215246487552.0,21488831360.0,3322288896.0,1427341312.0,1000000.0,420.0,41.0,40.375,10753.15625,10574.5166015625,10577.572265625,5836.308764964376,5836.308764964376,5055.937104039171,8344.159634139318,736013.9161131299,9777715.579038566,735893.2149159807,9778467.60856111,736003.7298795779,9777779.0487554,0.06683814525604248,65.0,0.00128864252474159,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
1.0,190674501632.0,20475453440.0,211149930496.0,24979131200.0,4503689984.0,1659125760.0,1000000.0,420.0,44.8125,44.3125,11692.955078125,11194.751953125,11297.248046875,6329.494450586081,6329.494450586081,5055.937104039171,9003.471552684554,736030.6778238117,9777717.097958786,735914.7844290565,9778614.394620243,736019.4461899762,9777804.104117587,0.08797431737184525,80.0,0.001414469094015658,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
1.1666666666666667,185035571200.0,22546767872.0,207582347264.0,28362473472.0,5815718656.0,1883914240.0,1000000.0,420.0,47.1875,46.625,12043.236328125,11674.349609375,11701.7314453125,6768.493185340441,6754.628043053148,5099.019513592785,9581.8839483684,736043.6082695097,9777718.528957458,735932.7229996987,9778758.474060364,736031.5652888075,9777831.482849788,0.1030188798904419,90.0,0.0014842926757410169,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
1.3333333333333333,179915243520.0,24404875264.0,204320112640.0,31649809280.0,7244944128.0,2102247424.0,1000000.0,420.0,50.875,49.9375,12859.57421875,12029.123046875,12289.37109375,7288.689868556626,7254.309064273454,5099.019513592785,10250.0,736054.1187082145,9777719.729061749,735947.973615126,9778899.953422328,736041.447182686,9777860.694222907,0.1270064413547516,105.0,0.0015932752285152674,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
1.5,175171584000.0,26069635072.0,201241198592.0,34848864512.0,8779242240.0,2314682368.0,1000000.0,420.0,52.75,52.1875,12911.40625,12450.9990234375,12511.232421875,7566.372975210778,7537.406715840668,5273.755777432247,10776.131031126153,736062.9922995467,9777720.706316357,735961.1799122115,9779038.917660188,736049.8076780393,9777891.469045455,0.1438455879688263,115.0,0.0016643113922327757,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
1.6666666666666667,170717249536.0,27557892096.0,198275137536.0,37965441344.0,10407557888.0,2521710592.0,1000000.0,420.0,56.3125,55.5,13508.87109375,13293.4033203125,13296.05859375,8062.25774829855,8035.0793399940985,5303.300858899106,11294.356998076517,736070.7069258969,9777721.504382571,735972.812914632,9779175.42535787,736057.1016812372,9777923.58140979,0.17054495215415955,130.0,0.0017659395234659314,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
1.8333333333333333,166495371264.0,28884346880.0,195379740672.0,41004118272.0,12119786240.0,2723528704.0,1000000.0,420.0,58.4375,57.5625,14006.646484375,13261.826171875,13506.6953125,8310.38506929733,8310.38506929733,5303.300858899106,11816.302298096474,736077.5593646667,9777722.177911166,735983.1695341773,9779309.567943212,736063.5995018724,9777956.857605977,0.18922853469848633,140.0,0.0018421148415654898,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
2.0,162467069952.0,30062039040.0,192529137664.0,43968654144.0,13906629376.0,2920464384.0,1000000.0,420.0,61.4375,60.9375,14084.509765625,13837.03515625,13829.990234375,8806.957476904268,8782.084035125148,5344.389581607988,12313.610356024752,736083.7559766379,9777722.763714964,735992.5143535841,9779441.385088993,736069.4984508934,9777991.123334695,0.21856991946697235,155.0,0.0019422837067395449,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
2.1666666666666665,158604804096.0,31102709760.0,189707517952.0,46862234880.0,15759536896.0,3112648704.0,1000000.0,420.0,63.5625,62.875,14346.13671875,14046.3916015625,14228.017578125,9086.390922693125,9055.385138137417,5344.389581607988,12811.127975318957,736089.4167709494,9777723.308581067,736001.0062595455,9779570.948919928,736074.9173546366,9778026.234596686,0.23902814090251923,165.0,0.002009655348956585,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
2.3333333333333335,154888224768.0,32017002496.0,186905198592.0,49687631232.0,17670638336.0,3300294656.0,1000000.0,420.0,67.125,66.3125,14744.2958984375,14424.625,14450.2470703125,9552.4865872714,9552.4865872714,5344.389581607988,13308.831654206164,736094.6649024097,9777723.81306847,736008.8056598043,9779698.288898747,736079.9657986639,9778062.03484663,0.2711012661457062,180.0,0.00211432040669024,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
2.5,151301996544.0,32814651392.0,184116658176.0,52447304192.0,19632663296.0,3483615232.0,1000000.0,420.0,69.875,68.1875,14922.98046875,14335.28515625,14415.03125,10000.0,9801.147891956329,5396.758286230725,13806.701271484077,736099.5756082406,9777724.289145041,736016.0149900949,9779823.452162603,736084.6807727694,9778098.419477737,0.29345378279685974,190.0,0.0021814305800944567,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
2.6666666666666665,147834224640.0,33504598016.0,181338816512.0,55143475936.0,21638886144.0,3662643200.0,1000000.0,420.0,73.125,72.0,14801.724609375,14278.48046875,14382.091796875,10298.664962022991,10277.402395547233,5550.900827793629,14304.719500919968,736104.1945212526,9777724.753641838,736022.717597354,9779946.478303295,736089.1427384987,9778135.243071092,0.3283184766769409,205.0,0.002298175822943449,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
2.8333333333333335,144475340800.0,34095067136.0,178570395648.0,57778179968.0,23683121920.0,3837624320.0,1000000.0,420.0,75.25,73.9375,14642.552734375,14208.552734375,14309.08984375,10574.1429912783,10547.511554864494,5550.900827793629,14802.871343087461,736108.5705329464,9777725.206241645,736028.9972654704,9780067.388540808,736093.3874626709,9778172.3985759,0.35240572690963745,215.0,0.0023639739956706762,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
3.0,141217595392.0,34593677312.0,175811264512.0,60353297856.0,25759632128.0,4008656896.0,1000000.0,420.0,78.375,77.25,14563.1650390625,14278.072265625,14396.8076171875,11045.36101718726,11025.538535599973,5550.900827793629,15301.143748099355,736112.7437043322,9777725.644171644,736034.8851148309,9780186.233912913,736097.4257858674,9778209.802802753,0.3898027837276459,230.0,0.0024659489281475544,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
3.1666666666666665,138054500352.0,35007459328.0,173061947392.0,62870585024.0,27863137024.0,4175822848.0,1000000.0,420.0,80.3125,79.1875,14535.0751953125,14036.197265625,14389.263671875,11319.23142267177,11294.356998076517,5590.169943749474,15781.71410208663,736116.7377430842,9777726.071419526,736040.4502342739,9780303.022904547,736101.3103239333,9778247.340817945,0.41551515460014343,240.0,0.0025333308149129152,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
3.3333333333333335,134980575232.0,35342954496.0,170323509248.0,65331691168.0,29988739840.0,4339245056.0,1000000.0,420.0,83.5,82.125,14619.5078125,14056.8876953125,14234.2275390625,11792.476415070754,11760.633486339075,5590.169943749474,16280.740155164936,736120.5660772963,9777726.495622858,736045.7292790897,9780417.782289078,736105.0455993986,9778284.943315726,0.45549440383911133,255.0,0.002625110326334834,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
3.5,131991076864.0,35606216704.0,167597293568.0,67738175104.0,32131947264.0,4499046400.0,1000000.0,420.0,85.6875,84.1875,14495.34375,14130.431640625,14283.669921875,12041.594578792296,12023.414656411049,5590.169943749474,16766.782637107215,736124.2534603368,9777726.910897916,736050.7579514137,9780530.532744747,736108.6372428394,9778322.544924065,0.4830511808395386,265.0,0.002691475674510002,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
3.6666666666666665,129081827328.0,35802877952.0,164884725760.0,70091516448.0,34288634624.0,4655374336.0,1000000.0,420.0,89.0,87.5,14502.794921875,14156.01953125,14317.8662109375,12522.479786368194,12502.499750049987,5590.169943749474,17257.244855422316,736127.8256065417,9777727.307728583,736055.5646417027,9780641.295508537,736112.12840736,9778360.053297136,0.5256126523017883,280.0,0.0027929863426834345,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
3.8333333333333335,126249181184.0,35938193408.0,162187345920.0,72393124768.0,36454931200.0,4808253440.0,1000000.0,420.0,91.1875,89.5,14580.771484375,14203.818359375,14387.6875,12789.155562428663,12759.800155174846,5640.257086339238,17750.0,736131.2726243583,9777727.70497437,736060.1523026449,9780750.108386409,736115.5288756532,9778397.409326348,0.5548543334007263,290.0,0.002864332403987646,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
4.0,123489796096.0,36017020928.0,159506825216.0,74644347968.0,38627322624.0,4957782016.0,1000000.0,420.0,94.25,92.6875,14569.08984375,14079.51953125,14277.03125,13259.430606176118,13059.957886608976,5640.257086339238,18043.350575766133,736134.626894468,9777728.083669286,736064.5568127565,9780856.97849741,736118.7982680966,9778434.601215668,0.5999680757522583,305.0,0.00295970868319273,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
4.166666666666667,120800698368.0,36043890688.0,156844605440.0,76846477056.0,40802597632.0,5104074752.0,1000000.0,420.0,96.1875,94.625,14335.376953125,13870.3974609375,14254.220703125,13509.256086106296,13308.831654206164,5640.257086339238,18527.007313648905,736137.892756157,9777728.447599942,736068.8146957975,9780961.909559984,736122.0044200887,9778471.529555628,0.6308847069740295,315.0,0.003027891041710973,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
4.333333333333333,118179168256.0,36023037952.0,154202210304.0,79000752096.0,42977716992.0,5247172608.0,1000000.0,420.0,99.3125,97.5,14392.724609375,13826.455078125,14041.2724609375,13806.701271484077,13786.315678962237,5640.257086339238,18809.904305976677,736141.0577858443,9777728.813966962,736072.9092325862,9781064.946714358,736125.1423880722,9778508.160910167,0.6784510612487793,330.0,0.0031203338876366615,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
4.5,115622690816.0,35957862400.0,151580540928.0,81108366432.0,45149985536.0,5387116544.0,1000000.0,420.0,101.125,99.4375,14166.169921875,13677.400390625,13898.5439453125,14055.692796870597,14035.668847618199,5798.706752371601,18045.08243261859,736144.150264717,9777729.164211314,736076.8811111061,9781165.930420764,736128.1951978992,9778544.430078398,0.711092472076416,340.0,0.003182491287589073,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
4.666666666666667,113128914944.0,35794284544.0,148923203584.0,83170469920.0,47315618560.0,5524086784.0,1000000.0,420.0,98.5625,96.5625,13826.6748046875,13454.541015625,13646.4736328125,13831.576193623054,13831.576193623054,5798.706752371601,17102.63137648707,736147.1781117063,9777729.496626908,736082.0216477709,9781250.066202922,736131.5150735355,9778575.681623494,0.7598851323127747,355.0,0.003090657526627183,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
4.833333333333333,110695718912.0,34687188992.0,145382883328.0,85188172352.0,49445518080.0,5658091520.0,1000000.0,420.0,89.1875,87.25,13262.080078125,12950.28515625,13047.197265625,13050.383136138187,12811.127975318957,5798.706752371601,15656.468311851175,736150.1255997552,9777729.82924803,736103.644190667,9781151.327581637,736139.0454426439,9778546.162699565,0.7895256280899048,365.0,0.0027966289781033993,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
5.0,108321062912.0,30650820608.0,138971856896.0,87162545792.0,51409660672.0,5789204480.0,1000000.0,420.0,69.1875,67.9375,11847.5390625,11658.107421875,11737.46875,11297.123527695003,11070.794912742263,5836.308764964376,14363.582422223224,736153.0098307405,9777730.151490027,736158.9404121699,9780614.000197921,736154.3330906364,9778366.183227068,0.8262746334075928,380.0,0.002176855690777302,1.0,6.123233995736766e-17,-0.5,0.5,2.0,20.0,2e-05,0.0002,2e-06,0.5,1.5,50.0,300000000000.0,3000.0,11056.98739150709
